src_ip,dst_ip,proto,port,occurrences
192.168.100.100,192.168.100.225,udp,53,383
192.168.100.100,185.15.58.224,tcp,443,115
192.168.100.100,40.82.7.113,tcp,443,9
192.168.100.100,13.107.42.14,tcp,443,9
192.168.100.100,213.13.146.142,tcp,443,259
192.168.100.100,148.69.168.40,tcp,443,50
192.168.100.100,54.155.178.5,tcp,443,12
192.168.100.100,40.90.64.41,tcp,443,0
192.168.100.100,157.240.212.35,tcp,443,242
192.168.100.100,192.168.100.224,udp,53,383
192.168.100.100,192.168.100.231,tcp,443,154
192.168.100.100,88.157.217.145,tcp,443,212
192.168.100.100,104.17.45.30,tcp,443,11
192.168.100.100,104.22.47.238,tcp,443,10
192.168.100.100,52.245.70.244,tcp,443,2
192.168.100.100,185.88.181.4,tcp,443,116
192.168.100.100,204.79.197.212,tcp,443,162
192.168.100.100,34.3.0.182,tcp,443,5
192.168.100.100,13.107.237.42,tcp,443,17
192.168.100.100,142.250.200.68,tcp,443,504
192.168.100.100,216.58.215.131,tcp,443,279
192.168.100.100,192.168.100.235,tcp,443,250
192.168.100.100,51.141.137.168,tcp,443,9
192.168.100.100,157.240.212.174,tcp,443,293
192.168.100.100,172.217.17.14,tcp,443,373
192.168.100.100,15.177.90.89,tcp,443,2
192.168.100.100,18.154.41.91,tcp,443,21
192.168.100.100,192.168.100.239,tcp,443,199
192.168.100.100,192.168.100.240,tcp,443,216
192.168.100.100,88.157.217.146,tcp,443,105
192.168.100.100,108.157.98.113,tcp,443,42
192.168.100.100,143.198.240.110,tcp,443,4
192.168.100.100,18.154.48.124,tcp,443,44
192.168.100.100,104.244.42.193,tcp,443,179
192.168.100.100,193.126.240.146,tcp,443,147
192.168.100.100,192.168.100.238,tcp,443,257
192.168.100.100,74.207.253.108,tcp,443,7
192.168.100.100,88.157.217.148,tcp,443,52
192.168.100.100,54.192.95.95,tcp,443,67
192.168.100.100,52.126.209.23,tcp,443,0
192.168.100.100,52.114.184.190,tcp,443,11
192.168.100.100,52.119.206.180,tcp,443,3
192.168.100.100,146.75.89.140,tcp,443,18
192.168.100.100,193.137.20.123,tcp,443,34
192.168.100.100,172.67.73.32,tcp,443,0
192.168.100.100,99.77.253.131,tcp,443,2
192.168.100.100,40.77.165.117,tcp,443,2
192.168.100.100,193.126.232.45,tcp,443,123
192.168.100.100,13.107.6.156,tcp,443,4
192.168.100.100,52.101.102.122,tcp,443,1
192.168.100.100,140.204.70.222,tcp,443,0
192.168.100.100,52.126.224.29,tcp,443,1
192.168.100.100,104.26.9.83,tcp,443,11
192.168.100.100,209.17.61.235,tcp,443,2
192.168.100.100,199.30.20.148,tcp,443,0
192.168.100.100,104.26.3.6,tcp,443,11
192.168.100.100,62.28.254.212,tcp,443,51
192.168.100.100,157.240.212.60,tcp,443,69
192.168.100.100,54.240.202.84,tcp,443,0
192.168.100.100,50.116.4.132,tcp,443,3
192.168.100.100,23.49.244.54,tcp,443,3
192.168.100.100,52.93.64.41,tcp,443,0
192.168.100.100,139.144.242.204,tcp,443,4
192.168.100.100,97.107.142.207,tcp,443,5
192.168.100.100,15.181.247.32,tcp,443,1
192.168.100.100,52.126.195.32,tcp,443,1
192.168.100.100,40.77.237.75,tcp,443,1
192.168.100.100,104.153.112.51,tcp,443,1
192.168.100.100,146.75.90.167,tcp,443,11
192.168.100.100,20.42.171.100,tcp,443,3
192.168.100.100,13.34.32.106,tcp,443,17
192.168.100.100,66.254.114.41,tcp,443,60
192.168.100.100,52.253.150.49,tcp,443,9
192.168.100.100,52.245.149.110,tcp,443,0
192.168.100.100,172.105.150.103,tcp,443,1
192.168.100.100,52.108.140.108,tcp,443,5
192.168.100.100,198.54.117.212,tcp,443,11
192.168.100.100,62.28.254.215,tcp,443,47
192.168.100.100,142.250.184.215,tcp,443,1
192.168.100.100,142.250.184.215,udp,443,0
192.168.100.100,172.104.223.189,tcp,443,0
192.168.100.100,96.0.105.233,tcp,443,0
192.168.100.100,40.77.172.73,tcp,443,11
192.168.100.100,52.95.24.150,tcp,443,1
192.168.100.100,40.77.249.89,tcp,443,0
192.168.100.100,52.103.134.165,tcp,443,0
192.168.100.100,140.91.5.17,tcp,443,0
192.168.100.100,52.95.24.253,tcp,443,1
192.168.100.100,13.107.42.52,tcp,443,2
192.168.100.100,97.107.141.150,tcp,443,2
192.168.100.100,13.107.42.54,tcp,443,2
192.168.100.100,52.108.167.189,tcp,443,0
192.168.100.100,186.192.81.5,tcp,443,12
192.168.100.100,13.107.231.51,tcp,443,4
192.168.100.100,13.34.14.215,tcp,443,8
192.168.100.100,185.88.181.55,tcp,443,19
192.168.100.100,52.144.194.230,tcp,443,2
192.168.100.100,74.207.230.43,tcp,443,1
192.168.100.100,109.74.204.78,tcp,443,22
192.168.100.100,40.66.1.90,tcp,443,3
192.168.100.100,140.204.76.207,tcp,443,9
192.168.100.100,52.94.23.28,tcp,443,0
192.168.100.100,40.82.61.132,tcp,443,0
192.168.100.100,66.246.138.157,tcp,443,6
192.168.100.100,146.75.90.137,tcp,443,1
192.168.100.100,52.239.160.19,tcp,443,5
192.168.100.100,40.79.9.209,tcp,443,11
192.168.100.100,13.107.42.10,tcp,443,2
192.168.100.100,15.197.39.89,tcp,443,6
192.168.100.100,142.250.184.187,tcp,443,1
192.168.100.100,142.250.184.187,udp,443,0
192.168.100.100,52.93.76.206,tcp,443,1
192.168.100.100,52.119.206.121,tcp,443,9
192.168.100.100,3.3.2.130,tcp,443,9
192.168.100.100,172.104.223.231,tcp,443,1
192.168.100.100,52.101.102.192,tcp,443,0
192.168.100.100,143.42.172.52,tcp,443,0
192.168.100.100,142.250.184.201,tcp,443,3
192.168.100.100,142.250.184.201,udp,443,1
192.168.100.100,63.246.119.44,tcp,443,3
192.168.100.100,34.3.4.108,tcp,443,0
192.168.100.100,52.239.162.2,tcp,443,0
192.168.100.100,20.95.52.30,tcp,443,0
192.168.100.100,146.190.176.250,tcp,443,3
192.168.100.100,54.239.113.103,tcp,443,2
192.168.100.100,191.233.52.164,tcp,443,0
192.168.100.100,52.219.31.85,tcp,443,6
192.168.100.100,3.2.0.121,tcp,443,1
192.168.100.100,216.39.155.170,tcp,443,4
192.168.100.100,142.250.184.196,tcp,443,1
192.168.100.100,142.250.184.196,udp,443,0
192.168.100.100,20.140.23.46,tcp,443,4
192.168.100.100,192.29.141.108,tcp,443,2
192.168.100.100,13.107.42.58,tcp,443,2
192.168.100.100,142.250.184.177,tcp,443,1
192.168.100.100,142.250.184.177,udp,443,0
192.168.100.100,40.97.15.133,tcp,443,9
192.168.100.100,3.5.166.26,tcp,443,0
192.168.100.100,13.87.126.6,tcp,443,3
192.168.100.100,35.71.68.229,tcp,443,12
192.168.100.100,142.250.184.230,tcp,443,3
192.168.100.100,142.250.184.230,udp,443,1
192.168.100.100,198.211.103.251,tcp,443,3
192.168.100.100,13.107.42.18,tcp,443,2
192.168.100.100,13.107.42.53,tcp,443,5
192.168.100.100,150.222.215.48,tcp,443,0
192.168.100.100,13.107.42.2,tcp,443,2
192.168.100.100,65.55.120.37,tcp,443,2
192.168.100.100,40.96.46.206,tcp,443,2
192.168.100.100,13.107.213.95,tcp,443,4
192.168.100.100,80.85.85.198,tcp,443,1
192.168.100.100,65.52.109.170,tcp,443,1
192.168.100.100,142.250.184.237,tcp,443,1
192.168.100.100,142.250.184.237,udp,443,0
192.168.100.100,212.71.238.143,tcp,443,5
192.168.100.100,142.250.184.164,tcp,443,1
192.168.100.100,142.250.184.164,udp,443,0
192.168.100.100,3.4.6.100,tcp,443,4
192.168.100.100,20.95.96.71,tcp,443,4
192.168.100.100,52.95.17.226,tcp,443,8
192.168.100.100,108.157.98.51,tcp,443,7
192.168.100.100,20.33.3.48,tcp,443,2
192.168.100.100,168.61.128.13,tcp,443,5
192.168.100.100,178.79.173.205,tcp,443,8
192.168.100.100,52.93.57.141,tcp,443,0
192.168.100.100,70.37.164.98,tcp,443,17
192.168.100.100,54.239.98.68,tcp,443,0
192.168.100.100,52.95.218.44,tcp,443,1
192.168.100.100,13.105.28.205,tcp,443,2
192.168.100.100,72.14.186.217,tcp,443,8
192.168.100.100,13.105.116.34,tcp,443,0
192.168.100.100,13.105.108.12,tcp,443,5
192.168.100.100,140.204.70.177,tcp,443,6
192.168.100.100,52.102.166.86,tcp,443,1
192.168.100.100,204.79.180.130,tcp,443,1
192.168.100.100,142.250.184.194,tcp,443,1
192.168.100.100,142.250.184.194,udp,443,0
192.168.100.100,51.141.128.170,tcp,443,2
192.168.100.100,131.253.33.66,tcp,443,5
192.168.100.100,3.3.8.232,tcp,443,7
192.168.100.100,130.176.254.62,tcp,443,1
192.168.100.100,142.250.184.207,tcp,443,1
192.168.100.100,142.250.184.207,udp,443,0
192.168.100.100,13.107.42.6,tcp,443,2
192.168.100.100,173.230.156.123,tcp,443,5
192.168.100.100,52.112.172.55,tcp,443,14
192.168.100.100,142.250.184.213,tcp,443,1
192.168.100.100,142.250.184.213,udp,443,0
192.168.100.100,72.247.155.216,tcp,443,5
192.168.100.100,52.101.98.240,tcp,443,0
192.168.100.100,52.126.204.43,tcp,443,7
192.168.100.100,129.149.16.7,tcp,443,6
192.168.100.100,207.135.25.128,tcp,443,0
192.168.100.100,140.204.76.150,tcp,443,6
192.168.100.100,65.55.110.246,tcp,443,0
192.168.100.100,157.55.38.241,tcp,443,0
192.168.100.100,51.141.128.97,tcp,443,8
192.168.100.100,13.105.29.129,tcp,443,0
192.168.100.100,15.230.42.51,tcp,443,5
192.168.100.100,20.195.128.216,tcp,443,6
192.168.100.100,45.60.74.62,tcp,443,5
192.168.100.100,142.250.184.247,tcp,443,1
192.168.100.100,142.250.184.247,udp,443,0
192.168.100.100,212.71.235.234,tcp,443,0
192.168.100.100,173.255.220.105,tcp,443,5
192.168.100.100,66.246.76.30,tcp,443,0
192.168.100.100,134.70.35.252,tcp,443,6
192.168.100.100,52.94.29.241,tcp,443,0
192.168.100.100,199.96.63.93,tcp,443,1
192.168.100.100,16.12.17.234,tcp,443,7
192.168.100.100,52.245.74.90,tcp,443,3
192.168.100.100,143.42.191.204,tcp,443,5
192.168.100.100,142.250.184.158,tcp,443,1
192.168.100.100,142.250.184.158,udp,443,0
192.168.100.100,140.204.70.234,tcp,443,5
192.168.100.100,54.239.99.194,tcp,443,2
192.168.100.101,157.240.212.35,tcp,443,228
192.168.100.101,192.168.100.225,udp,53,239
192.168.100.101,213.13.146.142,tcp,443,223
192.168.100.101,104.244.42.193,tcp,443,106
192.168.100.101,88.157.217.148,tcp,443,17
192.168.100.101,192.168.100.231,tcp,443,104
192.168.100.101,104.26.3.6,tcp,443,17
192.168.100.101,192.168.100.224,udp,53,209
192.168.100.101,185.15.58.224,tcp,443,113
192.168.100.101,192.168.100.239,tcp,443,135
192.168.100.101,142.250.200.68,tcp,443,218
192.168.100.101,88.157.217.145,tcp,443,149
192.168.100.101,52.101.96.163,tcp,443,0
192.168.100.101,192.168.100.238,tcp,443,174
192.168.100.101,62.28.254.215,tcp,443,42
192.168.100.101,216.58.215.131,tcp,443,137
192.168.100.101,172.217.17.14,tcp,443,206
192.168.100.101,157.240.212.60,tcp,443,83
192.168.100.101,157.240.212.174,tcp,443,125
192.168.100.101,62.28.254.212,tcp,443,77
192.168.100.101,54.192.95.95,tcp,443,62
192.168.100.101,193.126.232.45,tcp,443,98
192.168.100.101,185.88.181.4,tcp,443,96
192.168.100.101,191.238.71.115,tcp,443,5
192.168.100.101,192.168.100.240,tcp,443,136
192.168.100.101,40.82.44.193,tcp,443,10
192.168.100.101,147.154.36.109,tcp,443,0
192.168.100.101,192.168.100.235,tcp,443,173
192.168.100.101,23.97.112.15,tcp,443,8
192.168.100.101,18.154.48.124,tcp,443,37
192.168.100.101,104.17.45.30,tcp,443,16
192.168.100.101,185.199.109.97,tcp,443,0
192.168.100.101,193.137.20.123,tcp,443,33
192.168.100.101,193.126.240.146,tcp,443,154
192.168.100.101,13.107.6.156,tcp,443,11
192.168.100.101,157.55.28.37,tcp,443,7
192.168.100.101,157.56.80.64,tcp,443,2
192.168.100.101,54.155.178.5,tcp,443,2
192.168.100.101,186.192.81.5,tcp,443,8
192.168.100.101,129.213.0.158,tcp,443,4
192.168.100.101,13.107.42.14,tcp,443,52
192.168.100.101,204.79.197.212,tcp,443,101
192.168.100.101,88.157.217.146,tcp,443,59
192.168.100.101,139.144.174.222,tcp,443,5
192.168.100.101,65.55.210.61,tcp,443,5
192.168.100.101,52.94.248.80,tcp,443,0
192.168.100.101,213.52.128.82,tcp,443,6
192.168.100.101,18.67.242.41,tcp,443,6
192.168.100.101,40.96.61.182,tcp,443,2
192.168.100.101,66.254.114.41,tcp,443,16
192.168.100.101,108.157.98.113,tcp,443,37
192.168.100.101,18.154.22.25,tcp,443,14
192.168.100.101,15.230.186.39,tcp,443,1
192.168.100.101,15.230.39.136,tcp,443,3
192.168.100.101,198.54.117.212,tcp,443,11
192.168.100.101,15.230.249.157,tcp,443,1
192.168.100.101,13.34.26.113,tcp,443,2
192.168.100.101,192.81.134.160,tcp,443,7
192.168.100.101,109.74.205.229,tcp,443,0
192.168.100.101,13.107.42.31,tcp,443,2
192.168.100.101,52.114.181.80,tcp,443,3
192.168.100.101,13.107.42.6,tcp,443,2
192.168.100.101,143.42.170.176,tcp,443,0
192.168.100.101,148.69.168.40,tcp,443,56
192.168.100.101,172.96.97.180,tcp,443,2
192.168.100.101,23.49.244.54,tcp,443,15
192.168.100.101,104.83.180.153,tcp,443,12
192.168.100.101,131.186.12.14,tcp,443,8
192.168.100.101,104.22.47.238,tcp,443,7
192.168.100.101,157.55.103.130,tcp,443,3
192.168.100.101,143.42.173.59,tcp,443,3
192.168.100.101,46.51.211.74,tcp,443,2
192.168.100.101,52.108.119.125,tcp,443,1
192.168.100.101,13.107.42.48,tcp,443,2
192.168.100.101,3.2.43.83,tcp,443,10
192.168.100.101,20.202.168.72,tcp,443,9
192.168.100.101,172.105.150.128,tcp,443,1
192.168.100.101,205.251.225.11,tcp,443,0
192.168.100.101,147.154.37.7,tcp,443,2
192.168.100.101,150.222.136.249,tcp,443,2
192.168.100.101,52.115.63.178,tcp,443,0
192.168.100.101,52.185.112.61,tcp,443,0
192.168.100.101,13.105.116.119,tcp,443,1
192.168.100.101,52.103.37.144,tcp,443,4
192.168.100.101,52.165.104.93,tcp,443,1
192.168.100.101,142.250.184.208,tcp,443,1
192.168.100.101,142.250.184.208,udp,443,0
192.168.100.101,142.250.184.213,tcp,443,1
192.168.100.101,142.250.184.213,udp,443,0
192.168.100.101,198.211.105.198,tcp,443,10
192.168.100.101,18.34.238.174,tcp,443,13
192.168.100.101,157.55.106.236,tcp,443,0
192.168.100.101,185.88.181.55,tcp,443,15
192.168.100.101,15.230.42.35,tcp,443,0
192.168.100.101,151.148.10.107,tcp,443,1
192.168.100.101,173.255.216.100,tcp,443,2
192.168.100.101,52.95.24.147,tcp,443,2
192.168.100.101,142.250.184.217,tcp,443,1
192.168.100.101,142.250.184.217,udp,443,0
192.168.100.101,15.230.101.157,tcp,443,7
192.168.100.101,68.221.144.54,tcp,443,0
192.168.100.101,13.34.43.10,tcp,443,0
192.168.100.101,13.107.237.42,tcp,443,2
192.168.100.101,15.230.250.41,tcp,443,0
192.168.100.101,40.82.61.106,tcp,443,1
192.168.100.101,142.250.184.237,tcp,443,1
192.168.100.101,142.250.184.237,udp,443,0
192.168.100.101,13.107.42.2,tcp,443,2
192.168.100.101,146.75.90.137,tcp,443,1
192.168.100.101,52.239.162.238,tcp,443,7
192.168.100.101,146.190.178.105,tcp,443,3
192.168.100.101,3.5.76.128,tcp,443,0
192.168.100.101,34.3.1.224,tcp,443,3
192.168.100.101,52.115.244.187,tcp,443,3
192.168.100.101,20.95.240.216,tcp,443,4
192.168.100.101,143.42.172.72,tcp,443,0
192.168.100.101,52.115.71.7,tcp,443,4
192.168.100.101,52.246.147.225,tcp,443,1
192.168.100.101,142.250.184.245,tcp,443,1
192.168.100.101,142.250.184.245,udp,443,0
192.168.100.101,45.60.74.62,tcp,443,2
192.168.100.101,142.250.184.157,tcp,443,1
192.168.100.101,142.250.184.157,udp,443,0
192.168.100.101,198.211.110.246,tcp,443,12
192.168.100.101,172.96.97.215,tcp,443,1
192.168.100.101,142.250.184.161,tcp,443,1
192.168.100.101,142.250.184.161,udp,443,0
192.168.100.101,131.253.41.39,tcp,443,2
192.168.100.101,40.100.25.34,tcp,443,0
192.168.100.101,45.79.224.170,tcp,443,1
192.168.100.101,52.94.192.237,tcp,443,13
192.168.100.101,170.187.139.108,tcp,443,7
192.168.100.101,104.26.9.83,tcp,443,5
192.168.100.101,66.22.228.182,tcp,443,4
192.168.100.101,15.230.35.89,tcp,443,5
192.168.100.101,40.66.1.146,tcp,443,1
192.168.100.101,15.230.141.187,tcp,443,2
192.168.100.101,45.79.13.253,tcp,443,3
192.168.100.101,13.34.26.117,tcp,443,0
192.168.100.101,173.230.148.33,tcp,443,2
192.168.100.101,191.232.16.64,tcp,443,4
192.168.100.101,13.107.42.44,tcp,443,2
192.168.100.101,168.63.88.193,tcp,443,6
192.168.100.101,20.33.4.237,tcp,443,6
192.168.100.101,52.253.150.95,tcp,443,3
192.168.100.101,142.250.184.218,tcp,443,1
192.168.100.101,142.250.184.218,udp,443,0
192.168.100.101,13.107.42.36,tcp,443,2
192.168.100.101,147.154.44.130,tcp,443,0
192.168.100.101,13.107.42.27,tcp,443,2
192.168.100.101,52.144.197.181,tcp,443,2
192.168.100.101,199.59.151.166,tcp,443,0
192.168.100.102,142.250.184.182,tcp,443,1
192.168.100.102,192.168.100.224,udp,53,186
192.168.100.102,142.250.184.182,udp,443,0
192.168.100.102,192.168.100.225,udp,53,205
192.168.100.102,193.126.232.45,tcp,443,54
192.168.100.102,213.13.146.142,tcp,443,149
192.168.100.102,192.168.100.240,tcp,443,137
192.168.100.102,192.168.100.238,tcp,443,125
192.168.100.102,172.217.17.14,tcp,443,149
192.168.100.102,54.155.178.5,tcp,443,0
192.168.100.102,193.126.240.146,tcp,443,66
192.168.100.102,104.17.45.30,tcp,443,11
192.168.100.102,148.69.168.40,tcp,443,34
192.168.100.102,40.77.235.221,tcp,443,1
192.168.100.102,192.241.161.156,tcp,443,3
192.168.100.102,23.49.244.192,tcp,443,6
192.168.100.102,108.157.98.113,tcp,443,26
192.168.100.102,204.79.197.212,tcp,443,116
192.168.100.102,192.168.100.235,tcp,443,147
192.168.100.102,157.240.212.35,tcp,443,129
192.168.100.102,185.15.58.224,tcp,443,78
192.168.100.102,142.250.200.68,tcp,443,128
192.168.100.102,157.240.212.60,tcp,443,101
192.168.100.102,88.157.217.145,tcp,443,105
192.168.100.102,65.52.106.53,tcp,443,1
192.168.100.102,192.168.100.231,tcp,443,68
192.168.100.102,13.34.23.249,tcp,443,5
192.168.100.102,142.250.184.224,tcp,443,1
192.168.100.102,142.250.184.224,udp,443,0
192.168.100.102,104.244.42.193,tcp,443,115
